2021-06-11 13:49:12.861 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - summationThe method is exception, incompatible matrices
2021-06-11 13:49:41.314 [main] ERROR traning.task03a.service.creator.MatrixCreator - createcreate() is exception, non-natural values
2021-06-11 13:49:41.320 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - multiplyThe method is exception, incompatible matrices
2021-06-11 13:49:41.322 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - multiplyThe method is exception, incompatible matrices
2021-06-11 13:49:41.403 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - subtractionThe method is exception, incompatible matrices
2021-06-11 13:49:41.405 [main] ERROR traning.task03a.service.creator.MatrixCreator - createcreate() is exception, non-natural values
2021-06-11 13:49:41.406 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - subtractionThe method is exception, incompatible matrices
2021-06-11 13:49:41.415 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - summationThe method is exception, incompatible matrices
2021-06-11 13:49:41.417 [main] ERROR traning.task03a.service.creator.MatrixCreator - createcreate() is exception, non-natural values
2021-06-11 13:49:41.418 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - summationThe method is exception, incompatible matrices
2021-06-11 13:50:51.890 [main] ERROR traning.task03a.service.creator.MatrixCreator - createThe method is exception, non-natural values
2021-06-11 13:50:51.897 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - multiplyThe method is exception, incompatible matrices
2021-06-11 13:50:51.899 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - multiplyThe method is exception, incompatible matrices
2021-06-11 13:50:51.971 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - subtractionThe method is exception, incompatible matrices
2021-06-11 13:50:51.972 [main] ERROR traning.task03a.service.creator.MatrixCreator - createThe method is exception, non-natural values
2021-06-11 13:50:51.973 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - subtractionThe method is exception, incompatible matrices
2021-06-11 13:50:51.987 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - summationThe method is exception, incompatible matrices
2021-06-11 13:50:51.989 [main] ERROR traning.task03a.service.creator.MatrixCreator - createThe method is exception, non-natural values
2021-06-11 13:50:51.990 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - summationThe method is exception, incompatible matrices
2021-06-11 13:51:01.699 [main] ERROR traning.task03a.service.creator.MatrixCreator - createThe method is exception, non-natural values
2021-06-11 13:51:01.706 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - multiplyThe method is exception, incompatible matrices
2021-06-11 13:51:01.707 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - multiplyThe method is exception, incompatible matrices
2021-06-11 13:51:01.782 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - subtractionThe method is exception, incompatible matrices
2021-06-11 13:51:01.783 [main] ERROR traning.task03a.service.creator.MatrixCreator - createThe method is exception, non-natural values
2021-06-11 13:51:01.785 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - subtractionThe method is exception, incompatible matrices
2021-06-11 13:51:01.798 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - summationThe method is exception, incompatible matrices
2021-06-11 13:51:01.800 [main] ERROR traning.task03a.service.creator.MatrixCreator - createThe method is exception, non-natural values
2021-06-11 13:51:01.803 [main] ERROR by.traning.task03a.service.impl.MatrixServiceImpl - summationThe method is exception, incompatible matrices
2021-06-11 14:41:46.229 [main] ERROR traning.task03a.service.creator.ArrayCreator - The method is exception, non-natural values
2021-06-11 14:41:46.236 [main] ERROR traning.task03a.service.creator.ArrayCreator - The method is exception, non-natural values
2021-06-12 01:49:05.900 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 01:49:05.907 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 01:49:05.909 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 01:49:05.910 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 01:59:44.122 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 01:59:44.128 [main] ERROR traning.task03a.service.impl.MatrixServiceImpl - The method is exception, incompatible matrices
